"","Year","Age_group","Count"
"1",1990,"over_70",20399
"2",1990,"50_69",206148
"3",1990,"15_49",1169847
"4",1990,"5_14",14380
"5",1990,"under_5",371472
"6",1991,"over_70",26573
"7",1991,"50_69",265170
"8",1991,"15_49",1507786
"9",1991,"5_14",19461
"10",1991,"under_5",459127
"11",1992,"over_70",33797
"12",1992,"50_69",334139
"13",1992,"15_49",1901048
"14",1992,"5_14",26079
"15",1992,"under_5",553263
"16",1993,"over_70",41998
"17",1993,"50_69",414419
"18",1993,"15_49",2355302
"19",1993,"5_14",35140
"20",1993,"under_5",651461
"21",1994,"over_70",51362
"22",1994,"50_69",505039
"23",1994,"15_49",2857896
"24",1994,"5_14",46940
"25",1994,"under_5",747455
"26",1995,"over_70",61170
"27",1995,"50_69",596589
"28",1995,"15_49",3371592
"29",1995,"5_14",60284
"30",1995,"under_5",839116
"31",1996,"over_70",71366
"32",1996,"50_69",676115
"33",1996,"15_49",3803423
"34",1996,"5_14",75037
"35",1996,"under_5",919408
"36",1997,"over_70",80974
"37",1997,"50_69",749956
"38",1997,"15_49",4187407
"39",1997,"5_14",90767
"40",1997,"under_5",987651
"41",1998,"over_70",91117
"42",1998,"50_69",839965
"43",1998,"15_49",4680675
"44",1998,"5_14",108703
"45",1998,"under_5",1054021
"46",1999,"over_70",100983
"47",1999,"50_69",936715
"48",1999,"15_49",5239269
"49",1999,"5_14",127790
"50",1999,"under_5",1104989
"51",2000,"over_70",109762
"52",2000,"50_69",1025702
"53",2000,"15_49",5741129
"54",2000,"5_14",147937
"55",2000,"under_5",1134491
"56",2001,"over_70",117076
"57",2001,"50_69",1124110
"58",2001,"15_49",6163738
"59",2001,"5_14",167609
"60",2001,"under_5",1151870
"61",2002,"over_70",123121
"62",2002,"50_69",1207543
"63",2002,"15_49",6523551
"64",2002,"5_14",185484
"65",2002,"under_5",1155006
"66",2003,"over_70",127448
"67",2003,"50_69",1282659
"68",2003,"15_49",6792834
"69",2003,"5_14",202830
"70",2003,"under_5",1144351
"71",2004,"over_70",129791
"72",2004,"50_69",1336117
"73",2004,"15_49",6952485
"74",2004,"5_14",218404
"75",2004,"under_5",1122664
"76",2005,"over_70",129059
"77",2005,"50_69",1356338
"78",2005,"15_49",6936100
"79",2005,"5_14",227750
"80",2005,"under_5",1078375
"81",2006,"over_70",123253
"82",2006,"50_69",1328567
"83",2006,"15_49",6724814
"84",2006,"5_14",231456
"85",2006,"under_5",1003264
"86",2007,"over_70",114948
"87",2007,"50_69",1269606
"88",2007,"15_49",6369479
"89",2007,"5_14",232463
"90",2007,"under_5",920172
"91",2008,"over_70",106380
"92",2008,"50_69",1201869
"93",2008,"15_49",5955451
"94",2008,"5_14",231282
"95",2008,"under_5",839046
"96",2009,"over_70",98725
"97",2009,"50_69",1135661
"98",2009,"15_49",5549470
"99",2009,"5_14",227763
"100",2009,"under_5",754694
"101",2010,"over_70",93177
"102",2010,"50_69",1088003
"103",2010,"15_49",5207854
"104",2010,"5_14",221788
"105",2010,"under_5",674672
"106",2011,"over_70",88819
"107",2011,"50_69",1051633
"108",2011,"15_49",4891462
"109",2011,"5_14",214752
"110",2011,"under_5",598664
"111",2012,"over_70",84318
"112",2012,"50_69",1017182
"113",2012,"15_49",4538815
"114",2012,"5_14",210646
"115",2012,"under_5",531459
"116",2013,"over_70",81847
"117",2013,"50_69",999575
"118",2013,"15_49",4232480
"119",2013,"5_14",205004
"120",2013,"under_5",475573
"121",2014,"over_70",83403
"122",2014,"50_69",1000132
"123",2014,"15_49",4002875
"124",2014,"5_14",196315
"125",2014,"under_5",429295
"126",2015,"over_70",86775
"127",2015,"50_69",1009564
"128",2015,"15_49",3824054
"129",2015,"5_14",187019
"130",2015,"under_5",381310
"131",2016,"over_70",90336
"132",2016,"50_69",1020535
"133",2016,"15_49",3697013
"134",2016,"5_14",175962
"135",2016,"under_5",338368
"136",2017,"over_70",92176
"137",2017,"50_69",1012782
"138",2017,"15_49",3492983
"139",2017,"5_14",162614
"140",2017,"under_5",304283
"141",2018,"over_70",91999
"142",2018,"50_69",991614
"143",2018,"15_49",3266541
"144",2018,"5_14",149208
"145",2018,"under_5",272066
"146",2019,"over_70",92785
"147",2019,"50_69",983318
"148",2019,"15_49",3144497
"149",2019,"5_14",142528
"150",2019,"under_5",250750
